City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Barentu,ER,15.1139,37.5928,78.53,52,1,5.79,clear sky
262,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,0,9.22,clear sky
263,Zhuhai,CN,22.2769,113.5678,83.98,100,40,8.05,moderate rain
264,Kathmandu,NP,27.7167,85.3167,71.82,100,75,0.0,broken clouds
265,Astoria,US,46.1879,-123.8313,65.14,87,100,5.75,overcast clouds
266,Mambajao,PH,9.2504,124.7156,80.11,82,99,5.06,overcast clouds
267,Ibra,OM,22.6906,58.5334,88.23,48,100,6.64,overcast clouds
268,Zyryanka,RU,65.75,150.85,58.59,62,100,16.91,overcast clouds
269,Banyo,CM,6.75,11.8167,65.77,94,100,3.06,light rain
270,Vardo,NO,70.3705,31.1107,51.78,93,100,2.3,overcast clouds
271,Dawlatabad,AF,36.4141,64.9053,75.11,27,0,4.65,clear sky
272,Port Hawkesbury,CA,45.6169,-61.3485,73.78,48,75,1.99,broken clouds
273,Dikson,RU,73.5069,80.5464,34.7,98,95,10.51,overcast clouds
274,Pirajui,BR,-21.9986,-49.4572,67.84,40,5,5.57,clear sky
275,Beyneu,KZ,45.3167,55.2,70.43,48,54,9.82,broken clouds
276,Sakakah,SA,29.9697,40.2064,84.81,18,0,12.91,clear sky
277,San Miguel,SV,13.4833,-88.1833,85.23,81,55,3.06,broken clouds
278,Cururupu,BR,-1.8283,-44.8683,74.14,91,12,2.95,few clouds
279,Azuaga,ES,38.2667,-5.6833,69.67,42,0,8.77,clear sky
280,Mushie,CD,-3.0167,16.9,76.48,37,9,2.59,clear sky
281,Fare,PF,-16.7,-151.0167,80.11,72,7,15.66,clear sky
282,Inuvik,CA,68.3499,-133.7218,80.98,46,35,8.12,scattered clouds
283,Lixourion,GR,38.2019,20.4314,82.4,74,0,8.05,clear sky
284,Sola,VU,-13.8833,167.55,80.8,79,48,21.59,scattered clouds
285,Muros,ES,42.7762,-9.0603,69.1,71,0,12.28,clear sky
286,Havre-Saint-Pierre,CA,50.2334,-63.5986,60.17,65,11,21.5,few clouds
287,Ferme-Neuve,CA,46.7001,-75.4493,58.91,100,100,3.4,overcast clouds
288,Nishihara,JP,26.1842,127.7558,82.06,94,40,6.91,scattered clouds
289,Mbaiki,CF,3.8678,17.9892,68.86,97,75,1.88,light rain
290,Esperance,AU,-33.8667,121.9,56.97,76,100,11.1,overcast clouds
291,Tuatapere,NZ,-46.1333,167.6833,43.3,78,78,6.17,broken clouds
292,Kokstad,ZA,-30.5472,29.4241,49.95,52,3,4.14,clear sky
293,Dzilam Gonzalez,MX,21.2833,-88.9333,72.36,96,83,11.39,broken clouds
294,Katra,IN,32.9833,74.95,78.19,81,75,5.88,broken clouds
295,Tsiroanomandidy,MG,-18.7667,46.0333,54.37,83,0,2.39,clear sky
296,Baherden,TM,38.4362,57.4316,75.7,29,0,3.36,clear sky
297,Zevio,IT,45.3721,11.1293,79.25,53,20,5.75,few clouds
298,Oktyabrskiy,RU,54.4815,53.471,51.49,90,73,4.14,broken clouds
299,Port Hedland,AU,-20.3167,118.5667,51.85,35,6,9.22,clear sky
300,Kontagora,NG,10.3999,5.4695,74.07,89,85,5.77,overcast clouds
301,Nurota,UZ,40.5614,65.6886,69.91,28,0,3.71,clear sky
302,Henties Bay,NA,-22.116,14.2845,55.81,82,0,9.71,clear sky
303,Ciudad Bolivar,VE,8.1222,-63.5497,85.33,62,97,8.86,overcast clouds
304,Porirua,NZ,-41.1333,174.85,51.85,81,75,14.65,broken clouds
305,Merauke,ID,-8.4667,140.3333,77.27,88,100,10.45,overcast clouds
306,Lufilufi,WS,-13.8745,-171.5986,87.58,72,7,18.03,clear sky
307,Joensuu,FI,62.6012,29.7632,61.29,88,65,4.61,broken clouds
308,Fairbanks,US,64.8378,-147.7164,79.02,57,75,5.75,smoke
309,Bardiyah,LY,31.7561,25.0865,75.25,69,0,10.13,clear sky
310,Celestun,MX,20.8667,-90.4,85.23,69,28,17.58,scattered clouds
311,Savinka,RU,50.0785,47.0994,57.33,75,43,7.72,scattered clouds
312,Eydhafushi,MV,5.1033,73.0708,82.09,80,99,15.7,moderate rain
313,Tinyahuarco,PE,-10.75,-76.3,44.74,47,89,11.81,overcast clouds
314,Wanganui,NZ,-39.9333,175.05,53.6,95,96,3.0,overcast clouds
315,Teguldet,RU,57.3064,88.1667,55.35,89,97,4.65,overcast clouds
316,Samagaltay,RU,50.6022,95.0047,57.85,74,100,4.92,overcast clouds
317,Muyezerskiy,RU,63.9333,31.65,57.22,89,38,5.28,scattered clouds
318,Wai,IN,17.9333,73.9,71.53,94,100,8.86,overcast clouds
319,Sao Sepe,BR,-30.1606,-53.5653,63.75,96,100,4.16,overcast clouds
320,Araruama,BR,-22.8728,-42.3431,75.15,79,0,6.71,clear sky
321,Rabaul,PG,-4.1967,152.1721,80.38,77,100,3.44,overcast clouds
322,Livramento,BR,-3.0254,-60.1803,83.07,83,40,2.3,scattered clouds
323,Brigantine,US,39.4101,-74.3646,78.03,88,75,14.97,moderate rain
324,Nizhniy Kuranakh,RU,58.8353,125.4869,77.41,66,71,5.66,broken clouds
325,Tshane,BW,-24.0196,21.8684,59.54,38,0,6.82,clear sky
326,Portland,US,45.5234,-122.6762,76.33,62,100,3.44,overcast clouds
327,Irondequoit,US,43.2134,-77.5797,79.48,82,75,13.8,broken clouds
328,Santa Cruz De Tenerife,ES,28.4682,-16.2546,72.59,85,40,21.85,scattered clouds
329,Bay Roberts,CA,47.5999,-53.2648,68.5,59,2,13.69,clear sky
330,Macapa,BR,0.0389,-51.0664,82.38,78,75,4.61,broken clouds
